pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2,trip_duration_minutes
2009-01-01,0,CMT,2009-01-01 00:06:01,2009-01-01 00:15:37,2,1.7,-73.95623,40.7716,,,-73.981834,40.77318,Cash,8.2,0,0.0,0.0,0.0,0.0,8.2,0,0,,,9.6
2009-01-01,0,CMT,2009-01-01 00:06:10,2009-01-01 00:14:28,3,4.7999997,-73.98606,40.76785,,,-73.95366,40.82189,Cash,13.0,0,0.0,0.0,0.0,0.0,13.0,0,0,,,8.3
2009-01-01,0,CMT,2009-01-01 00:06:11,2009-01-01 00:10:35,1,1.0,-73.94845,40.789337,,,-73.93753,40.79367,Cash,5.4,0,0.0,0.0,0.0,0.0,5.4,0,0,,,4.4
2009-01-01,0,CMT,2009-01-01 00:06:13,2009-01-01 00:09:46,1,1.0,-74.00567,40.74847,,,-73.98764,40.74141,Cash,5.4,0,0.0,0.0,0.0,0.0,5.4,0,0,,,3.55
2009-01-01,0,CMT,2009-01-01 00:06:15,2009-01-01 00:36:39,4,15.4,-73.99166,40.735252,,,-73.77866,40.755554,Cash,36.6,0,0.0,0.0,0.0,0.0,36.6,0,0,,,30.4
2009-01-01,0,CMT,2009-01-01 00:06:18,2009-01-01 00:19:00,1,0.59999996,-73.96269,40.799564,,,-73.96905,40.790974,Cash,8.6,0,0.0,0.0,0.0,0.0,8.599999,0,0,,,12.7
2009-01-01,0,CMT,2009-01-01 00:06:22,2009-01-01 00:09:57,2,1.0,-74.00184,40.73774,,,-74.00605,40.723915,Credit,5.4,0,0.0,0.81,0.0,0.0,6.21,0,0,,,3.5833333333333335
2009-01-01,0,CMT,2009-01-01 00:06:22,2009-01-01 00:09:04,2,0.8,-73.95211,40.777966,,,-73.949615,40.771133,Cash,4.6,0,0.0,0.0,0.0,0.0,4.6,0,0,,,2.7
2009-01-01,0,CMT,2009-01-01 00:06:24,2009-01-01 00:09:36,1,0.7,-73.997826,40.745274,,,-74.00092,40.738407,Cash,4.6,0,0.0,0.0,0.0,0.0,4.6,0,0,,,3.2
2009-01-01,0,CMT,2009-01-01 00:06:25,2009-01-01 00:17:57,2,4.5,-73.984184,40.75152,,,-73.92317,40.76099,Cash,13.0,0,0.0,0.0,0.0,0.0,13.0,0,0,,,11.533333333333333
2009-01-01,0,CMT,2009-01-01 00:06:32,2009-01-01 00:09:54,2,1.3,-73.998795,40.714344,,,-74.012405,40.701546,Credit,5.8,0,0.0,0.87,0.0,0.0,6.6699996,0,0,,,3.3666666666666667
2009-01-01,0,CMT,2009-01-01 00:06:36,2009-01-01 00:13:55,2,1.3,-74.006874,40.73036,,,-73.99374,40.721222,Cash,7.0,0,0.0,0.0,0.0,0.0,7.0,0,0,,,7.316666666666666
2009-01-01,0,CMT,2009-01-01 00:07:00,2009-01-01 00:24:12,1,6.7,-74.0017,40.72794,,,-73.963554,40.798412,Cash,18.6,0,0.0,0.0,0.0,0.0,18.6,0,0,,,17.2
2009-01-01,0,CMT,2009-01-01 00:07:02,2009-01-01 00:17:24,4,1.5,-73.982834,40.772133,,,-73.97346,40.75822,Cash,7.8,0,0.0,0.0,0.0,0.0,7.7999997,0,0,,,10.366666666666667
2009-01-01,0,CMT,2009-01-01 00:07:06,2009-01-01 00:23:07,1,8.2,-73.993324,40.733192,,,-73.89328,40.750893,Cash,20.6,0,0.0,0.0,0.0,0.0,20.6,0,0,,,16.016666666666666
2009-01-01,0,CMT,2009-01-01 00:07:07,2009-01-01 00:43:44,1,4.2999997,-73.99151,40.75035,,,-73.94902,40.785088,Cash,21.0,0,0.0,0.0,0.0,0.0,21.0,0,0,,,36.61666666666667
2009-01-01,0,CMT,2009-01-01 00:07:10,2009-01-01 00:39:04,1,18.8,-73.99477,40.72061,,,-73.93178,40.600006,Cash,42.6,0,0.0,0.0,0.0,0.0,42.6,0,0,,,31.9
2009-01-01,0,CMT,2009-01-01 00:07:10,2009-01-01 00:18:54,1,1.0,-74.00647,40.73967,,,-74.00014,40.73043,Cash,7.8,0,0.0,0.0,0.0,0.0,7.7999997,0,0,,,11.733333333333333
2009-01-01,0,CMT,2009-01-01 00:07:11,2009-01-01 00:20:15,1,3.3,-73.98037,40.75424,,,-73.99336,40.713837,Credit,11.4,0,0.0,0.0,0.0,0.0,11.4,0,0,,,13.066666666666666
2009-01-01,0,CMT,2009-01-01 00:07:15,2009-01-01 00:25:40,1,5.7,-73.98205,40.75047,,,-73.89781,40.73752,Cash,16.6,0,0.0,0.0,0.0,0.0,16.6,0,0,,,18.416666666666668
2009-01-01,0,CMT,2009-01-01 00:07:16,2009-01-01 00:15:52,1,0.8,-73.99118,40.74972,,,-73.98416,40.74529,Cash,6.6,0,0.0,0.0,0.0,0.0,6.6,0,0,,,8.6
2009-01-01,0,CMT,2009-01-01 00:07:17,2009-01-01 00:21:48,4,3.1,-74.0,40.73483,,,-73.98527,40.768456,Cash,11.4,0,0.0,0.0,0.0,0.0,11.4,0,0,,,14.516666666666667
2009-01-01,0,CMT,2009-01-01 00:07:28,2009-01-01 00:14:39,1,1.9,-74.00927,40.716297,,,-73.98799,40.722656,Cash,7.4,0,0.0,0.0,0.0,0.0,7.4,0,0,,,7.183333333333334
2009-01-01,0,CMT,2009-01-01 00:07:30,2009-01-01 00:23:33,2,3.5,-74.005775,40.740177,,,-74.0089,40.70632,Cash,13.0,0,0.0,0.0,0.0,0.0,13.0,0,0,,,16.05
2009-01-01,0,CMT,2009-01-01 00:07:34,2009-01-01 00:34:09,4,4.2,-73.96727,40.77297,,,-74.00067,40.72047,Cash,16.6,0,0.0,0.0,0.0,0.0,16.6,0,0,,,26.583333333333332
2009-01-01,0,CMT,2009-01-01 00:07:35,2009-01-01 00:23:43,1,3.3999999,-73.965935,40.762093,,,-73.99836,40.723167,Credit,11.8,0,0.0,2.0,0.0,0.0,13.8,0,0,,,16.133333333333333
2009-01-01,0,CMT,2009-01-01 00:07:38,2009-01-01 00:18:46,3,1.6,-73.983406,40.737213,,,-73.99115,40.75113,Cash,7.8,0,0.0,0.0,0.0,0.0,7.7999997,0,0,,,11.133333333333333
2009-01-01,0,CMT,2009-01-01 00:07:39,2009-01-01 00:19:08,2,1.6,-73.98871,40.7313,,,-73.983315,40.722145,Cash,8.2,0,0.0,0.0,0.0,0.0,8.2,0,0,,,11.483333333333333
2009-01-01,0,CMT,2009-01-01 00:07:44,2009-01-01 00:14:27,2,1.4,-73.98398,40.656815,,,-73.98398,40.656815,Cash,6.6,0,0.0,0.0,0.0,0.0,6.6,0,0,,,6.716666666666667
2009-01-01,0,CMT,2009-01-01 00:07:48,2009-01-01 00:17:58,1,2.1,-73.99267,40.74806,,,-73.9901,40.73219,Cash,9.0,0,0.0,0.0,0.0,0.0,9.0,0,0,,,10.166666666666666
2009-01-01,0,CMT,2009-01-01 00:07:49,2009-01-01 00:14:23,4,0.9,-73.9763,40.752518,,,-73.97154,40.76229,Cash,5.8,0,0.0,0.0,0.0,0.0,5.7999997,0,0,,,6.566666666666666
2009-01-01,0,CMT,2009-01-01 00:07:49,2009-01-01 00:20:47,2,4.1,-73.988815,40.73114,,,-73.95354,40.77556,Credit,12.2,0,0.0,2.0,0.0,0.0,14.2,0,0,,,12.966666666666667
2009-01-01,0,CMT,2009-01-01 00:07:51,2009-01-01 00:15:31,2,1.8,-73.999916,40.722195,,,-73.98673,40.740128,Cash,7.4,0,0.0,0.0,0.0,0.0,7.4,0,0,,,7.666666666666667
2009-01-01,0,CMT,2009-01-01 00:07:52,2009-01-01 00:12:57,1,1.3,-73.96196,40.75673,,,-73.94864,40.773922,Cash,6.2,0,0.0,0.0,0.0,0.0,6.2,0,0,,,5.083333333333333
2009-01-01,0,CMT,2009-01-01 00:07:52,2009-01-01 00:09:41,1,0.59999996,-73.97442,40.791374,,,-73.97977,40.78453,Cash,4.2,0,0.0,0.0,0.0,0.0,4.2,0,0,,,1.8166666666666667
2009-01-01,0,CMT,2009-01-01 00:08:02,2009-01-01 00:13:25,1,2.3,-73.96365,40.710617,,,-73.991776,40.721897,Cash,7.8,0,0.0,0.0,0.0,0.0,7.7999997,0,0,,,5.383333333333334
2009-01-01,0,CMT,2009-01-01 00:08:03,2009-01-01 00:15:54,1,1.5,-74.0041,40.73317,,,-73.985535,40.73602,Cash,7.0,0,0.0,0.0,0.0,0.0,7.0,0,0,,,7.85
2009-01-01,0,CMT,2009-01-01 00:08:03,2009-01-01 00:17:41,2,2.2,-74.00824,40.73764,,,-74.0099,40.70939,Cash,8.6,0,0.0,0.0,0.0,0.0,8.599999,0,0,,,9.633333333333333
2009-01-01,0,CMT,2009-01-01 00:08:09,2009-01-01 00:14:41,1,1.2,-73.96807,40.801136,,,-73.96933,40.78722,Cash,6.6,0,0.0,0.0,0.0,0.0,6.6,0,0,,,6.533333333333333
2009-01-01,0,CMT,2009-01-01 00:08:16,2009-01-01 00:33:52,1,5.7999997,-73.98991,40.741745,,,-73.91136,40.75881,Credit,19.0,0,0.0,4.75,0.0,0.0,23.75,0,0,,,25.6
2009-01-01,0,CMT,2009-01-01 00:08:18,2009-01-01 00:23:21,1,3.6,-73.99177,40.759617,,,-73.95533,40.77364,Cash,12.2,0,0.0,0.0,0.0,0.0,12.2,0,0,,,15.05
2009-01-01,0,CMT,2009-01-01 00:08:21,2009-01-01 00:18:04,4,2.6,-73.94619,40.777515,,,-73.98304,40.781807,Cash,9.4,0,0.0,0.0,0.0,0.0,9.4,0,0,,,9.716666666666667
2009-01-01,0,CMT,2009-01-01 00:08:24,2009-01-01 00:26:59,3,2.8999999,-73.9831,40.766766,,,-73.974236,40.751347,Cash,12.6,0,0.0,0.0,0.0,0.0,12.6,0,0,,,18.583333333333332
2009-01-01,0,CMT,2009-01-01 00:08:25,2009-01-01 00:35:24,2,3.3,-73.982834,40.771976,,,-73.98558,40.735474,Credit,15.4,0,0.0,3.08,0.0,0.0,18.48,0,0,,,26.983333333333334
2009-01-01,0,CMT,2009-01-01 00:08:26,2009-01-01 00:14:26,1,3.3,-73.94774,40.779095,,,-73.972565,40.743538,Cash,9.8,0,0.0,0.0,0.0,0.0,9.8,0,0,,,6.0
2009-01-01,0,CMT,2009-01-01 00:08:29,2009-01-01 00:17:56,1,1.9,-73.96396,40.761387,,,-73.98766,40.776466,Cash,8.2,0,0.0,0.0,0.0,0.0,8.2,0,0,,,9.45
2009-01-01,0,CMT,2009-01-01 00:08:36,2009-01-01 00:19:52,1,2.7,-73.98175,40.752747,,,-73.988144,40.723637,Cash,9.8,0,0.0,0.0,0.0,0.0,9.8,0,0,,,11.266666666666667
2009-01-01,0,CMT,2009-01-01 00:08:37,2009-01-01 00:21:46,1,5.2999997,-73.99412,40.720085,,,-73.95794,40.768623,Cash,14.6,0,0.0,0.0,0.0,0.0,14.6,0,0,,,13.15
2009-01-01,0,CMT,2009-01-01 00:08:38,2009-01-01 00:20:17,1,2.8999999,-73.95707,40.77076,,,-73.99085,40.75107,Cash,10.2,0,0.0,0.0,0.0,0.0,10.2,0,0,,,11.65
2009-01-01,0,CMT,2009-01-01 00:08:44,2009-01-01 00:14:29,1,1.2,-73.97754,40.77411,,,-73.979904,40.78616,Cash,6.6,0,0.0,0.0,0.0,0.0,6.6,0,0,,,5.75
2009-01-01,0,CMT,2009-01-01 00:08:47,2009-01-01 00:13:09,4,0.5,-73.98236,40.771534,,,-73.9824,40.776184,Cash,5.0,0,0.0,0.0,0.0,0.0,5.0,0,0,,,4.366666666666666
2009-01-01,0,CMT,2009-01-01 00:08:50,2009-01-01 00:17:43,1,2.5,-73.95635,40.771523,,,-73.98008,40.74252,Cash,8.6,0,0.0,0.0,0.0,0.0,8.599999,0,0,,,8.883333333333333
2009-01-01,0,CMT,2009-01-01 00:08:52,2009-01-01 00:20:19,2,2.0,-73.97929,40.759262,,,-73.95546,40.770237,Cash,9.0,0,0.0,0.0,0.0,0.0,9.0,0,0,,,11.45
2009-01-01,0,CMT,2009-01-01 00:08:54,2009-01-01 00:28:51,1,5.9,-74.00466,40.740643,,,-73.94237,40.794865,Cash,17.0,0,0.0,0.0,0.0,0.0,17.0,0,0,,,19.95
2009-01-01,0,CMT,2009-01-01 00:08:56,2009-01-01 00:23:56,2,2.3,-73.97699,40.7643,,,-73.9551,40.765625,Cash,10.6,0,0.0,0.0,0.0,0.0,10.6,0,0,,,15.0
2009-01-01,0,CMT,2009-01-01 00:08:58,2009-01-01 00:36:52,3,5.6,-73.95487,40.77329,,,-74.00855,40.720417,Cash,19.0,0,0.0,0.0,0.0,0.0,19.0,0,0,,,27.9
2009-01-01,0,CMT,2009-01-01 00:09:03,2009-01-01 00:22:48,2,2.8999999,-73.993,40.758396,,,-73.98064,40.730495,Cash,10.6,0,0.0,0.0,0.0,0.0,10.6,0,0,,,13.75
2009-01-01,0,CMT,2009-01-01 00:09:09,2009-01-01 00:27:32,2,2.7,-73.979904,40.754383,,,-73.99251,40.722656,Cash,12.2,0,0.0,0.0,0.0,0.0,12.2,0,0,,,18.383333333333333
2009-01-01,0,CMT,2009-01-01 00:09:12,2009-01-01 00:17:01,1,1.9,-73.979805,40.7763,,,-73.96466,40.795,Cash,7.8,0,0.0,0.0,0.0,0.0,7.7999997,0,0,,,7.816666666666666
2009-01-01,0,CMT,2009-01-01 00:09:12,2009-01-01 00:24:37,1,3.5,-73.99407,40.735424,,,-73.95959,40.77107,Cash,12.2,0,0.0,0.0,0.0,0.0,12.2,0,0,,,15.416666666666666
2009-01-01,0,CMT,2009-01-01 00:09:14,2009-01-01 00:23:04,1,2.1,-73.99658,40.746967,,,-73.983536,40.7262,Cash,9.8,0,0.0,0.0,0.0,0.0,9.8,0,0,,,13.833333333333334
