pickup_date,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code_id,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,pickup_location_id,dropoff_location_id,junk1,junk2
2012-01-01,0,CMT,2012-01-01 00:05:19,2012-01-01 00:16:06,1,2.0,-73.98377,40.7262,1,N,-73.97465,40.750603,CRD,8.1,0.5,0.5,2.27,0.0,0.0,11.37,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:19,2012-01-01 00:22:59,3,3.0,-73.993065,40.737,1,N,-73.98064,40.75122,CSH,11.7,0.5,0.5,0.0,0.0,0.0,12.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:20,2012-01-01 00:27:38,2,4.4,-73.988266,40.723667,1,N,-73.98762,40.76792,CRD,14.5,0.5,0.5,2.0,0.0,0.0,17.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:21,2012-01-01 00:10:29,1,0.5,-73.98327,40.76682,1,N,-73.97453,40.763275,CSH,4.5,0.5,0.5,0.0,0.0,0.0,5.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:24,2012-01-01 00:26:09,2,5.1,-73.98555,40.74428,1,N,-73.93933,40.807655,CSH,15.3,0.5,0.5,0.0,0.0,0.0,16.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:24,2012-01-01 00:16:09,2,2.6,-73.95381,40.774956,1,N,-73.98529,40.768517,CSH,8.9,0.5,0.5,0.0,0.0,0.0,9.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:26,2012-01-01 00:24:43,1,7.4,-73.99717,40.722614,1,N,-73.997765,40.6469,CSH,19.3,0.5,0.5,0.0,0.0,0.0,20.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:35,2012-01-01 00:19:56,1,3.5,-73.95651,40.717,1,N,-73.96011,40.674004,CSH,10.9,0.5,0.5,0.0,0.0,0.0,11.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:37,2012-01-01 00:13:02,1,1.5,-73.9867,40.74566,1,N,-73.9867,40.74566,CSH,6.5,0.5,0.5,0.0,0.0,0.0,7.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:45,2012-01-01 00:24:59,2,6.6,-73.96139,40.80132,1,N,-73.97787,40.726803,CRD,18.5,0.5,0.5,3.9,0.0,0.0,23.4,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:47,2012-01-01 00:19:51,1,2.7,-73.987015,40.729584,1,N,-73.97493,40.76148,CSH,9.7,0.5,0.5,0.0,0.0,0.0,10.7,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:58,2012-01-01 00:36:01,3,21.7,-73.789185,40.641865,1,N,-74.03604,40.638195,CRD,47.3,0.5,0.5,12.07,0.0,0.0,60.37,0,0,,
2012-01-01,0,CMT,2012-01-01 00:05:59,2012-01-01 00:11:48,1,1.8,-74.008316,40.720802,1,N,-74.00559,40.741028,CSH,6.9,0.5,0.5,0.0,0.0,0.0,7.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:01,2012-01-01 00:21:02,1,5.4,-73.97684,40.78836,1,N,-74.0072,40.72585,CRD,14.9,0.5,0.5,0.0,0.0,0.0,15.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:02,2012-01-01 00:28:32,2,2.5,0.0,0.0,1,N,0.0,0.0,CSH,12.9,0.5,0.5,0.0,0.0,0.0,13.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:10,2012-01-01 00:22:34,1,3.7,-73.9756,40.782135,1,N,-73.94755,40.78274,CRD,12.1,0.5,0.5,0.0,0.0,0.0,13.1,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:21,2012-01-01 00:10:39,0,0.7,-73.9785,40.745304,1,N,-73.9772,40.753998,CSH,4.5,0.5,0.5,0.0,0.0,0.0,5.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:23,2012-01-01 00:22:50,1,2.8,-74.00443,40.723682,1,N,-73.97832,40.7518,CSH,10.5,0.5,0.5,0.0,0.0,0.0,11.5,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:25,2012-01-01 00:16:33,1,2.8,-74.005196,40.7199,1,N,-73.9978,40.7566,CSH,9.3,0.5,0.5,0.0,0.0,0.0,10.3,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:28,2012-01-01 00:20:03,2,2.3999999,-74.00467,40.74287,1,Y,-73.97891,40.72181,CRD,9.3,0.5,0.5,2.06,0.0,0.0,12.36,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:29,2012-01-01 00:14:07,2,1.7,-73.96156,40.81143,1,N,-73.943016,40.819336,CSH,6.9,0.5,0.5,0.0,0.0,0.0,7.9,0,0,,
2012-01-01,0,CMT,2012-01-01 00:06:29,2012-01-01 00:39:55,1,19.7,-73.98888,40.750366,1,N,-73.93919,40.58402,CRD,44.5,0.5,0.5,12.57,4.8,0.0,62.87,0,0,,
